client_code,product,push_notification
23,Премиальная карта,"Темирлан, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
24,Премиальная карта,"Гульмира, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
25,Кредитная карта,"Адиль, ваши топ-категории — разные категории. Кредитная карта даст до 10% кешбэка на любимые покупки и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
26,Премиальная карта,"Маржан, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас и получать больше от своих расходов! Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
27,Кредитная карта,"{name}, ваши топ-категории — разные. Кредитная карта даст до 10% кешбэка в любимых категориях и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
28,Премиальная карта,"Алтынай, у вас значительные траты в ресторанах — 157 515 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
29,Кредитная карта,"Сая, у вас разнообразные траты, а кредитная карта даст до 10% кешбэка на любимые категории и онлайн-сервисы. Оформить карту — легко! Оформление займёт всего пару минут в мобильном приложении."
30,Кредитная карта,"Ербол, у вас разные категории трат. Кредитная карта даст до 10% кешбэка и беспроцентный период. Это удобно для ваших расходов. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
31,Премиальная карта,"Дамир, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия наличных. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
32,Премиальная карта,"Алия, у вас стабильные траты в ресторанах. Премиальная карта обеспечит повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
33,Кредитная карта,"Мерей, у вас есть возможность получить кредитную карту с 10% кешбэком на любимые категории. Это поможет вам экономить при покупках. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
34,Кредитная карта,"Инкар, у вас разнообразные траты. Кредитная карта даст до 10% кешбэка на любимые категории и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
35,Премиальная карта,"Самат, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Это выгодно для вашего стиля жизни. Оформить сейчас. Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
36,Кредитная карта,"Назым, у вас много возможностей для покупок. Кредитная карта даст до 10% кешбэка в ваших любимых категориях и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
37,Кредитная карта,"Гульнар, у вас разные категории трат. Кредитная карта даст до 10% кешбэка в любимых категориях и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
38,Премиальная карта,"Серик, у вас крупные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия наличных. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
39,Премиальная карта,"Ляззат, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк 2% и бесплатные снятия. Оформить сейчас и получать больше от ваших расходов! Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
40,Кредитная карта,"Асхат, у вас нет активных кредитных карт. Кредитная карта даст вам до 10% кешбэка в разных категориях и на онлайн-сервисы. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
41,Премиальная карта,"Сандугаш, у вас стабильно крупные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
42,Кредитная карта,"Рустем, вы можете получить кредитную карту с 10% кешбэка на ваши любимые категории и онлайн-сервисы. Беспроцентный период также вас порадует. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
43,Кредитная карта,"Нуртас, ваша кредитная карта даст вам до 10% кешбэка на любимые категории! Это отличная возможность начать получать выгоду от своих трат. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
44,Премиальная карта,"Айнагуль, у вас стабильные траты в ресторанах. Премиальная карта даст повышенный кешбэк 2% и бесплатные снятия наличных. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
45,Кредитная карта,"Диана, у вас разнообразные траты. Кредитная карта даст до 10% кешбэка на любимые категории и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
46,Кредитная карта,"Арсен, вы можете получить до 10% кешбэка на свои любимые категории с кредитной картой. А ещё — беспроцентный период на покупки. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
47,Кредитная карта,"{name}, ваши топ-категории — разные категории. Кредитная карта даёт до 10% кешбэка на любимые покупки и беспроцентный период. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
48,Премиальная карта,"Ержан, у вас стабильно крупные траты в ресторанах — 163 554 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
49,Премиальная карта,"Амина, у вас большие траты в ресторанах — 201 264 ₸. Премиальная карта даст вам повышенный кешбэк и бесплатные снятия наличных. Оформить сейчас! Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
50,Премиальная карта,"{name}, у вас стабильные траты в ресторанах. Премиальная карта даст вам повышенный кешбэк и бесплатные снятия. Оформить сейчас и начать экономить! Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
51,Премиальная карта,"Жанат, у вас стабильные траты в ресторанах — 142 595 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
52,Премиальная карта,"Милана, у вас стабильно крупные траты в ресторанах — 313 525 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
53,Премиальная карта,"Расул, у вас активные траты в ресторанах — 184 108 ₸. Премиальная карта даст вам повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
54,Кредитная карта,"Виктория, ваша активность пока невысока, но кредитная карта даст до 10% кешбэка на любимые категории. Беспроцентный период поможет вам экономить. Оформить карту? Оформление займёт всего пару минут в мобильном приложении."
55,Премиальная карта,"Асель, у вас стабильно крупные траты в ресторанах — 284 207 ₸. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
56,Премиальная карта,"Нуркен, у вас стабильно крупный остаток и траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас. Оформление займёт несколько минут."
57,Премиальная карта,"Жания, у вас значительные траты в ресторанах. Премиальная карта обеспечит повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
58,Премиальная карта,"Султан, у вас значительные траты в ресторанах — 147 668 ₸. Премиальная карта обеспечит вам повышенный кешбэк и бесплатные снятия. Оформить карту? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
59,Премиальная карта,"Динара, у вас стабильно крупные траты в ресторанах. Премиальная карта даст повышенный кешбэк и бесплатные снятия. Оформить сейчас? Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
60,Премиальная карта,"Ермек, у вас стабильные траты в ресторанах — 183 046 ₸. Премиальная карта даст повышенный кешбэк 2% и бесплатные снятия. Оформить сейчас. Дополнительно: VIP-обслуживание и консьерж-сервис 24/7."
