client_code,product,push_notification
27,Кредитная карта,"Нурсултан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
28,Карта для путешествий,"Алтынай, в августе у вас 176 поездок на такси на 356 028 ₸. С картой для путешествий вернули бы 14 241 ₸ кешбэком. Оформить карту."
29,Кредитная карта,"Сая, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
30,Карта для путешествий,"Ербол, в августе у вас 203 поездок на такси на 470 363 ₸. С картой для путешествий вернули бы 18 815 ₸ кешбэком. Оформить карту."
31,Кредитная карта,"Дамир, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
32,Премиальная карта,"Алия, вы часто в ресторанах (392 578 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
33,Кредитная карта,"Мерей, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
34,Кредитная карта,"Инкар, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
35,Премиальная карта,"Самат, вы часто в ресторанах (369 386 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
36,Кредитная карта,"Назым, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
37,Кредитная карта,"Гульнар, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
38,Депозит Сберегательный,"Серик, у вас остаются свободные средства. Сберегательный вклад под 16,5% годовых без возможности снятия. Открыть вклад."
39,Кредитная карта,"Ляззат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
40,Кредитная карта,"Асхат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
41,Кредитная карта,"Сандугаш, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
42,Премиальная карта,"Рустем, вы часто в ресторанах (398 188 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
43,Кредитная карта,"Нуртас, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
45,Кредитная карта,"Диана, ваши топ-категории — Ремонт дома, Ювелирные украшения, Кафе и рестораны. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
46,Кредитная карта,"Арсен, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
47,Кредитная карта,"Камшат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
48,Кредитная карта,"Ержан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
49,Кредитная карта,"Амина, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
50,Премиальная карта,"Тимурлан, вы часто в ресторанах (320 488 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
51,Депозит Накопительный,"Жанат, у вас остаются свободные средства. Накопительный вклад под 15,5% годовых с возможностью пополнения. Открыть вклад."
52,Премиальная карта,"Милана, вы часто в ресторанах (313 525 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
53,Кредитная карта,"Расул, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даёт до 10% кешбэка в любимых категориях. Оформить карту."
54,Премиальная карта,"Виктория, вы часто в ресторанах (387 085 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
55,Премиальная карта,"Асель, вы часто в ресторанах (284 207 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
56,Депозит,"Нуркен, у вас остаются свободные средства. Сберегательный вклад под 16,5% годовых без возможности снятия. Открыть вклад."
57,Депозит Накопительный,"Жания, у вас остаются свободные средства. Накопительный вклад под 15,5% годовых с возможностью пополнения. Открыть вклад."
58,Депозит,"Султан, у вас остаются свободные средства. Сберегательный вклад под 16,5% годовых без возможности снятия. Открыть вклад."
59,Премиальная карта,"Динара, вы часто в ресторанах (316 262 ₸/мес). Премиальная карта вернёт 4% с этих трат. Подключить карту."
60,Депозит Накопительный,"Ермек, у вас остаются свободные средства. Накопительный вклад под 15,5% годовых с возможностью пополнения. Открыть вклад."
